"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2015","708.60","710.20","711.25","707.21","","-0.30%"
"30.12.2015","710.73","706.40","712.55","706.40","","0.53%"
"29.12.2015","707.00","707.30","710.55","704.70","","-0.13%"
"28.12.2015","707.90","699.80","708.40","699.58","","1.11%"
"25.12.2015","700.15","699.80","700.44","698.70","","-0.03%"
"24.12.2015","700.33","698.30","703.25","697.10","","0.20%"
"23.12.2015","698.90","696.70","700.59","692.90","","0.26%"
"22.12.2015","697.10","692.30","698.19","688.80","","0.63%"
"21.12.2015","692.76","698.60","699.55","689.70","","-0.89%"
"18.12.2015","698.95","706.40","708.91","697.70","","-1.12%"
"17.12.2015","706.90","705.50","710.55","702.50","","0.13%"
"16.12.2015","705.99","710.20","713.51","704.75","","-0.66%"
"15.12.2015","710.65","711.80","712.95","707.60","","-0.32%"
"14.12.2015","712.90","708.80","713.00","708.50","","0.50%"
"11.12.2015","709.35","704.85","710.35","703.50","","0.62%"
"10.12.2015","705.00","703.98","705.97","701.60","","0.09%"
"09.12.2015","704.40","706.13","708.50","700.38","","-0.22%"
"08.12.2015","705.92","706.20","711.51","705.40","","-0.08%"
"07.12.2015","706.46","700.10","707.52","700.00","","0.79%"
"04.12.2015","700.90","700.69","703.23","698.40","","-0.05%"
"03.12.2015","701.28","703.50","705.43","697.17","","-0.41%"
"02.12.2015","704.17","702.40","704.85","701.10","","0.17%"
"01.12.2015","703.00","710.20","710.80","701.90","","-1.07%"
"30.11.2015","710.62","714.00","714.50","709.15","","-0.74%"
"27.11.2015","715.90","713.85","715.90","710.60","","0.27%"
"26.11.2015","714.00","712.90","714.33","709.60","","0.10%"
"25.11.2015","713.30","712.10","715.90","710.40","","0.20%"
"24.11.2015","711.85","715.60","715.75","707.50","","-0.57%"
"23.11.2015","715.95","712.10","718.05","710.60","","0.35%"
"20.11.2015","713.45","710.60","713.45","707.40","","0.33%"
"19.11.2015","711.10","714.30","715.15","709.20","","-0.52%"
"18.11.2015","714.83","711.20","715.85","710.50","","0.46%"
"17.11.2015","711.58","712.00","714.80","707.80","","-0.15%"
"16.11.2015","712.62","704.80","714.06","704.80","","0.97%"
"13.11.2015","705.75","701.30","707.50","701.20","","0.56%"
"12.11.2015","701.85","697.20","705.39","697.20","","0.42%"
"11.11.2015","698.90","699.50","701.09","696.70","","-0.17%"
"10.11.2015","700.10","701.60","706.00","698.80","","-0.30%"
"09.11.2015","702.20","697.40","703.60","696.99","","0.62%"
"06.11.2015","697.85","694.85","700.15","693.50","","0.48%"
"05.11.2015","694.55","692.51","695.09","691.20","","0.35%"
"04.11.2015","692.10","688.40","692.86","686.20","","0.48%"
"03.11.2015","688.80","691.00","693.72","686.50","","-0.40%"
"02.11.2015","691.55","691.00","694.40","690.30","","-0.02%"
"30.10.2015","691.70","688.50","692.90","685.50","","0.40%"
"29.10.2015","688.95","687.20","692.99","687.04","","0.17%"
"28.10.2015","687.80","687.30","690.67","684.57","","-0.01%"
"27.10.2015","687.90","687.50","690.25","684.74","","-0.01%"
"26.10.2015","688.00","685.80","690.20","682.60","","0.23%"
"23.10.2015","686.40","688.60","690.55","683.20","","-0.38%"
"22.10.2015","689.05","692.70","693.92","687.10","","-0.58%"
"21.10.2015","693.10","687.30","695.09","687.20","","0.78%"
"20.10.2015","687.75","679.60","689.11","678.40","","1.11%"
"19.10.2015","680.20","674.09","681.77","674.09","","0.76%"
"16.10.2015","675.10","673.40","675.70","670.90","","0.16%"
"15.10.2015","674.00","679.33","681.92","673.20","","-0.85%"
"14.10.2015","679.80","683.30","684.05","678.08","","-0.58%"
"13.10.2015","683.75","675.60","685.27","674.87","","1.13%"
"12.10.2015","676.10","677.50","677.75","675.60","","0.00%"
"09.10.2015","676.10","677.30","679.23","670.25","","-0.21%"
"08.10.2015","677.55","679.65","685.95","676.90","","-0.27%"
"07.10.2015","679.39","680.30","681.47","674.80","","-0.21%"
"06.10.2015","680.80","682.70","685.05","678.20","","-0.34%"
"05.10.2015","683.10","688.40","689.46","681.00","","-0.85%"
"02.10.2015","688.95","696.69","698.65","687.90","","-1.03%"
"01.10.2015","696.10","695.60","697.24","692.12","","-0.04%"
"30.09.2015","696.35","703.50","704.00","694.90","","-1.10%"
"29.09.2015","704.10","705.80","707.15","701.90","","-0.29%"
"28.09.2015","706.17","700.20","708.33","700.10","","0.78%"
"25.09.2015","700.70","696.40","702.58","691.40","","0.52%"
"24.09.2015","697.05","703.10","710.25","695.45","","-0.95%"
"23.09.2015","703.70","697.90","704.84","695.20","","0.75%"
"22.09.2015","698.45","684.43","699.85","683.50","","1.99%"
"21.09.2015","684.82","678.40","685.93","675.30","","0.86%"
"18.09.2015","679.00","673.45","680.85","671.72","","0.82%"
"17.09.2015","673.50","676.10","679.84","672.30","","-0.49%"
