residencia,comuna
Alcohuaz,Paiguano
Bahia Inglesa,Caldera
Baños Morales,San José de Maipo
Buchupureo,Cobquecura
Caburga,Cunco
Cahuil,Pichilemu
Caleta Tortel,Tortel
Carelmapu,Maullín
Catripulli,Curarrehue
Chanavayita,Iquique
Chauquén,Panguipulli
Cochiguaz,Paiguano
Colonia Lautaro,Lautaro
Compu,Quellón
Coñaripe,Panguipulli
Coyhaique,Coihaique
Cucao,Chonchi
Curanipe,Cauquenes
Dichato,Tomé
El Boyenar,Melipilla
El Colorado,Lo Barnechea
El Guayacán,Coquimbo
El Manzano,Las Cabras
El Médano,San Clemente
El Melocotón,San José de Maipo
El Molle,Vicuña
Ensenada,Puerto Varas
Entre Lagos,Puyehue
Frutillar Alto,Frutillar
Guanaqueros,Coquimbo
Hornopirén,Hualaihué
Ilihue,Lago Ranco
Iloca,Licantén
Isla Negra,El Quisco
Isla R. Crusoe (Juan Fernández),Juan Fernández
Juan Lopez,Antofagasta
La Herradura,Coquimbo
La Junta,Cisnes
La Laguna,Zapallar
La Tirana,Pozo Almonte
Laguna Verde,Valparaíso
Las Cruces,El Tabo
Las Trancas (Termas de Chillán),Chillán
Las Trincheras,Curepto
Las Vertientes,San José de Maipo
Lican Ray,Villarrica
Llicaldad,Castro
Llifén,Futrono
Lontué,Molina
Los Molinos,Valdivia
Los Molles,La Ligua
Maitencillo,Puchuncaví
Malalcahuello,Curacautín
Mamiña,Pozo Almonte
Manzanar,Curacautín
Mehuín,Mariquina
Metri,Puerto Montt
Molco,Villarrica
Nercón,Castro
Niebla,Valdivia
Paihuano,Paiguano
Panimavida,Colbún
Pedregal,Alto del Carmen
Peleco,Cañete
Pichidangui,Los Vilos
Piruquina,Los Lagos
Pisco Elqui,Paiguano
Playa La Virgen,Caldera
Puente Negro,San Fernando
Puertecillo,Navidad
Puerto Aysén,Aisén
Puerto Bertrand,Chile Chico
Puerto Cárdenas,Chaitén
Puerto Choque,Tirúa
Puerto Cisnes,Cisnes
Puerto Fonck,Puerto Octay
Puerto Guadal,Chile Chico
Puerto Ingeniero Ibáñez,Río Ibáñez
Puerto Lloles,Futrono
Puerto Natales,Natales
Puerto Pirihueico,Panguipulli
Puerto Saavedra,Saavedra
Punta Choros,La Higuera
Punta De Tralca,El Quisco
Puyuhuapi,Cisnes
Quenuir,Maullín
Quillaipe,Puerto Montt
Quintay,Casablanca
Rangue,Paine
Recinto,Pinto
Reñaca,Viña del Mar
Río Puelo,Cochamó
Ritoque,Quintero
Rivadavia,Vicuña
Saltos del Laja,Cabrero
San Alfonso,Algarrobo
San Fabián de Alico,San Fabián
